Door	Country	ChallengeLevel	Color	InstructionAudio	AudioDuration	SyllOrTile	StagesIncluded
1	Romania	1	5	X	naWhileMPOnly	T	-
2	Thailand	155	0	X	naWhileMPOnly	T	-
3	Thailand	255	0	X	naWhileMPOnly	T	-
4	Thailand	355	0	X	naWhileMPOnly	T	-
5	Thailand	165	1	X	naWhileMPOnly	T	-
6	Thailand	265	1	X	naWhileMPOnly	T	-
7	Thailand	365	1	X	naWhileMPOnly	T	-
8	Sudan	1	5	X	naWhileMPOnly	S	-
9	Thailand	177	2	X	naWhileMPOnly	S	-
10	Thailand	277	2	X	naWhileMPOnly	S	-
11	Sudan	1	5	X	naWhileMPOnly	T	-
12	Thailand	111	3	X	naWhileMPOnly	T	-
13	Thailand	211	3	X	naWhileMPOnly	T	-
14	Thailand	122	4	X	naWhileMPOnly	T	-
15	Thailand	222	4	X	naWhileMPOnly	T	-
16	Thailand	112	7	X	naWhileMPOnly	T	-
17	Thailand	121	7	X	naWhileMPOnly	T	-
18	Thailand	212	7	X	naWhileMPOnly	T	-
19	Thailand	221	7	X	naWhileMPOnly	T	-
20	Thailand	185	8	X	naWhileMPOnly	S	-
21	Thailand	285	8	X	naWhileMPOnly	S	-
22	Thailand	175	8	X	naWhileMPOnly	S	-
23	Thailand	275	8	X	naWhileMPOnly	S	-
24	Thailand	135	9	X	naWhileMPOnly	T	-
25	Thailand	235	9	X	naWhileMPOnly	T	-
26	Thailand	115	9	X	naWhileMPOnly	T	-
27	Thailand	215	9	X	naWhileMPOnly	T	-
28	Thailand	125	10	X	naWhileMPOnly	T	-
29	Thailand	225	10	X	naWhileMPOnly	T	-
30	Thailand	187	11	X	naWhileMPOnly	S	-
31	Thailand	287	11	X	naWhileMPOnly	S	-
32	Thailand	131	12	X	naWhileMPOnly	T	-
33	Thailand	231	12	X	naWhileMPOnly	T	-
34	Thailand	132	12	X	naWhileMPOnly	T	-
35	Thailand	232	12	X	naWhileMPOnly	T	-
