Syllable	Or1	Or2	Or3	SyllableAudioName	Duration
a	á	á'	a̱	zs_a	1999
á	a̱'	a	a̱	zs_a1	1999
á'	á	a̱'	a̱	zs_a13	1999
a̱	a	á'	a̱'	zs_a2	1999
a̱'	a	á'	a̱	zs_a23	1999
an	a	un	daan	zs_an	1999
bá	bu̱	bu̱n'	du̱u̱n	zs_ba1	1999
bu̱	bu̱n'	bá	dú	zs_bu2	1999
bu̱n'	du̱u̱n	daan	un	zs_bu2n3	1999
chá	chá'	ché	chí	zs_cha1	1999
chá'	chá	ché	chí	zs_cha13	1999
ché	chá	chá'	chí	zs_che1	1999
chí	chá	chá'	ché	zs_chi1	1999
da	da̱'	daan	di	zs_da	1999
da̱'	da	daan	di	zs_da23	1999
daan	da	da̱'	díin	zs_daan	1999
di	da	dí	di̱	zs_di	1999
dí	di	di̱	dú	zs_di1	1999
di̱	da̱'	da	dú	zs_di2	1999
díin	duun	dúun	du̱u̱n	zs_di1in	1999
doo'	duu	dú	gu̱	zs_doo3	1999
dú	duu	dí	di̱	zs_du1	1999
duu	duun	dúun	du̱u̱n	zs_duu	1999
duun	duu	dúun	du̱u̱n	zs_duun	1999
dúun	duun	du̱u̱n	díin	zs_du1un	1999
du̱u̱n	duun	dúun	díin	zs_du2u2n	1999
dxá	dxá'	ga̱a̱'	da̱'	zs_dxa1	1999
dxá'	dxá	ga̱a̱'	da̱'	zs_dxa13	1999
e	e'	e̱	a	zs_e	1999
e'	e	e̱	a	zs_e3	1999
e̱	e	e'	a	zs_e2	1999
frí	chí	gi	jia'	zs_fri1	1999
ga	gá	ga̱a̱'	ga̱	zs_ga	1999
gá	ga	ga̱	ga̱a̱'	zs_ga1	1999
ga̱	ga	gá	ga̱a̱'	zs_ga2	1999
ga̱a̱'	ga	gá	ga̱	zs_ga2a23	1999
gi	gi̱	gi̱'	gu	zs_gi	1999
gi̱	gi	gi̱'	gu	zs_gi2	1999
gi̱'	gi	gi̱	gu'	zs_gi23	1999
gu	gu'	gú	gu̱	zs_gu	1999
gu'	gu	gú	gu̱	zs_gu3	1999
gú	gu	gu'	gu̱	zs_gu1	1999
gu̱	gu	gu'	gú	zs_gu2	1999
gua	gu	gu̱n'	gu̱	zs_gua	1999
gu̱n'	ji̱n	juan	gua	zs_gu2n3	1999
i	í	í'	i̱	zs_i	1999
í	i	í'	i̱	zs_i1	1999
í'	i	í	i̱	zs_i13	1999
