Spanish	Me'phaa
culebra	a̱bu̱n'
marrano	a̱ga
fuego	agu'
sol	a̱jka̱'
num004	a̱jku̱
hormiga	ajkuáan
num002	a̱jma̱
musica	ajmúú
num003	ajtsú
embarazada	a̱khi̱i̱
adobe	á'khu̱
padre	ana̱
elote	a̱nu̱'
venado	a̱ŋa̱'
cuello	aphu
su_estomago	aúun
precio_medida	awan
ajo	áxú
mujer	a̱'gu̱
abeja	a̱'ma
iguana	a̱'u̱u̱n
cuchara	chálá
oreja	chá'un
guajolote	chéjmbáa
machete	chídí
lagartija	chíjndu
cuchillo	chílú
olla	daan
chile	duun
nube	du̱u̱n
zopilote	dxá'an
muchacho	dxáma
muchacha	dxá'gú
zorro	egi̱
pez	e̱gi̱'
tuza	e̱jŋgi̱i̱'
campamocha	e̱tsu̱u̱n'
canasta	extu'
mosquito	e̱xu̱'
sangre	e'di
puesto_vert_uno	frígu
armadillo	ga̱a̱'
mapache	ga̱yú
luna	gu̱n'
humo	gúní
palma	ida
su_ojo	iduu
sal	idú
jicama	íga
ninyos	i̱ji̱n
hoja	iná
viento	i̱ŋá'
piedra	itsí
hueso	itsu̱
maiz	ixí
arbol	ixi̱
agua	iya'
papel	i̱yi̱i̱'
correcaminos	í'dúun
derecho	jmbu
pantalones	jmuu
falda	jnóo
num007	juan
arena	jui̱'i̱
y	kamí
camino	khambaa
montanya	khúbá
comadreja	khu̱u̱n'
cucaracha	ki̱xua̱a̱
naranja	láxá
cebolla	mágá
num006	majun
rio	mañu
rojo	maŋa'
verde	maxa'
alto	mba̱yi̱i̱'
num001	mbóó
noche	mbro'on
efectivo	mbújkáa
cielo	mekhu
num008	migiñu'
caliente	mijka
num009	mijnau̱wa̱'
azul	mi'ñuu
blanco	mi'xá
gato	míxtúun
oveja	mugu̱
amarillo	mu̱jmu̱'
enfermo	nakháñuu
basura	náska
vela	ndélá
canya	ndiin
guayaba	ndijia'
fiesta	ndxa̱a̱
vidrio	niwan'
mosca	ñu̱ju̱
mundo	numbaa'
mecate	ñuñuu
pajaro	ñu̱'u̱
lodo	ŋgaxa'
mariposa	pi̱jpí
tomate	ra̱mbu̱
huarache	raxtá
flor	ri̱'i̱
botella	ru̱jtu̱
tarantula	ru̱ndi̱i̱n
guajolota	rundú'
carbon	rutá
canoa	ruwa'
gorgojo	ruxi
lluvia	ru'wa
negro	skuni'
tos	ta̱'a̱
medicina	thana
algunos	tikhuu
ciruela	tsídíin
cacahuate	tsíjmbaa'
raton	tsi̱jní
chivo	tsu̱jtoon'
colibri	tsu̱'tsún'
tortilla	uma
tortuga	u̱'tsi̱
atole	úwan'
num010	u̱wa̱'
mujeres	u̱'u̱
conejo	wa̱jin
rebozo	wáñú
gallo	wa̱xtá
num005	witsu
hongo	wíxa'
persona	xa̱bu̱
rastrojo	xadoo'
tabla	xajpa
platano	xáma
cangrejo	xa̱wí'
bosque	xaxi
milpa	xaxtu
vaca	xedi̱
pajaro_carpintero	xi̱da̱'
grillo	xijŋgrí
aranya	xina'
alacran	xi̱yú'
libelula	xka̱da̱'
escoba	xka'á
derrumbe	xki̱jka̱
garrapata	xki̱'xi
puerta	xkrugua
semilla_para_comer	xkuun
pluma	xna'
huevo	xndú
pueblo	xojin
resorte	xtá
sombrero	xtédi̱
ropa	xtíin
pollo	xtílá
murcielago	xtí'khú
una_sola_milpa	xto̱o̱
servilleta	xtúmi̱
jicara	xua̱a̱
perro	xu̱wán'
ardilla	ya̱a̱'
frijol	yaja
miel	ya'tsáá'
manteca	yejtsu̱
polvo	yu̱jnda̱'
cuervo	yu̱wa̱'
maguey	yu'wa
